,"('1', 'depthN')","('2', 'depthN')","('3', 'depthN')","('4', 'depthN')","('6', 'depthN')","('7', 'depthN')","('8', 'depthN')","('10', 'depthN')","('11', 'depthN')"
2014-07-05 12:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:02:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:04:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:06:01,5.1770148318308045e-06,0.000516642470043473,3.9564807062615244e-07,5.073629547840079e-06,2.4748118854682563e-05,0.00013913903387945755,0.006003345988558848,6.0246621349529044e-05,0.00864825357223652
2014-07-05 12:07:43,4.178293690660327e-05,0.003969867189328899,3.1240295595888106e-06,3.954249868475711e-05,0.00013571394460181276,0.0010710795158199574,0.024122969778629818,0.0002171037448985095,0.025392077208805035
2014-07-05 12:09:43,0.00017736789010408478,0.006817743876491138,1.3011349996728408e-05,0.00017025939611260005,0.0006010578953910097,0.004160914637232331,0.055355139757070265,0.0007528581400311853,0.05292468287698201
2014-07-05 12:11:20,0.0004099476352183891,0.011968420335732803,3.0755491300106405e-05,0.00041708811190374455,0.001466988342844633,0.00902232010568348,0.09174043169084015,0.0017111027431577581,0.08136586730478373
2014-07-05 12:12:57,0.0007727484500859539,0.019426464052028018,5.863878791898258e-05,0.0007955386409210987,0.0031274908777373612,0.015693309009207533,0.12816409758320046,0.0032096668497798367,0.11082929370953093
2014-07-05 12:14:35,0.0012471282263616006,0.026317990390413826,9.520057696519216e-05,0.0014344814412443896,0.005587473926903307,0.023464615166222114,0.16242125877952568,0.005211325417829753,0.13849661513167927
2014-07-05 12:16:14,0.0018852846162762883,0.0332715217095718,0.00014494176816370072,0.0025716655871941166,0.009019320025268597,0.0324280223728083,0.19452555703432806,0.007835009982261259,0.16655078848382554
2014-07-05 12:17:53,0.002672808405701114,0.03990595805895464,0.0002079401184211904,0.004448940462797058,0.013824436878971395,0.04194795688263291,0.22305444496979876,0.011049381714469949,0.19328004081445282
2014-07-05 12:19:40,0.0036427419283610106,0.046364079098478186,0.0002914351679758971,0.007920199979094097,0.021352756779908326,0.05221439491410748,0.24634144347681375,0.015067934118618976,0.21937673245591938
2014-07-05 12:20:45,0.004335992985373245,0.05040215758327918,0.00034813999768086655,0.008618831534322548,0.024974257616143407,0.06007241440161239,0.2598306775806495,0.017825580510609108,0.2349755853199395
