,"('P1', 'depthN')","('P2', 'depthN')"
2018-02-25 00:00:00,0.0,0.0
2018-02-25 00:05:00,0.0,0.0
2018-02-25 00:10:00,0.0,0.0
2018-02-25 00:15:00,0.0,0.0
2018-02-25 00:20:00,0.0,0.0
2018-02-25 00:25:00,0.0,0.0
2018-02-25 00:30:00,0.0,0.0
2018-02-25 00:35:00,0.0,0.0
2018-02-25 00:40:00,0.0,0.0
2018-02-25 00:45:00,0.0,0.0
2018-02-25 00:50:00,0.0,0.0
2018-02-25 00:55:00,0.0,0.0
2018-02-25 01:00:00,1.229228902261534e-05,1.229228902261534e-05
2018-02-25 01:05:00,0.00011988863225428327,0.00012030283444218279
2018-02-25 01:10:00,0.0006096830530975512,0.000621662403483063
2018-02-25 01:15:00,0.0016350170804410623,0.0017162589292156513
2018-02-25 01:20:00,0.003051218530053551,0.0032989472082423543
2018-02-25 01:25:00,0.005344009930153919,0.006014719242528401
2018-02-25 01:30:00,0.008214775264523407,0.009685785709261218
2018-02-25 01:35:00,0.011138127928325659,0.013682489258677414
2018-02-25 01:40:00,0.014587794382749366,0.01912512142424007
2018-02-25 01:45:00,0.017733551921486432,0.025551259519226217
2018-02-25 01:50:00,0.020686799543638175,0.03285861023791255
2018-02-25 01:55:00,0.0249093884060341,0.04170298879445239
2018-02-25 02:00:00,0.028803330486692827,0.05093432184230359
2018-02-25 02:05:00,0.03395949855880142,0.06227382943000121
2018-02-25 02:10:00,0.03975056102657762,0.07483581379400384
2018-02-25 02:15:00,0.045565997351146,0.08814998651068676
2018-02-25 02:20:00,0.05183190925719662,0.10356890476304652
2018-02-25 02:25:00,0.05828262349527567,0.12120202989263235
2018-02-25 02:30:00,0.06504892262530201,0.14036784189922347
2018-02-25 02:35:00,0.07110437997449781,0.1589775762868326
2018-02-25 02:40:00,0.07608833670644881,0.1767118958330831
2018-02-25 02:45:00,0.08116492307309056,0.19537360398416853
2018-02-25 02:50:00,0.08505598084806568,0.21173183773990698
2018-02-25 02:55:00,0.08791920374635451,0.22729232999570398
2018-02-25 03:00:00,0.09174636586503071,0.24404238917967458
