,1,2
2018-02-25 00:00:00,0.0,0.0
2018-02-25 00:05:00,0.0,0.0
2018-02-25 00:10:00,0.0,0.0
2018-02-25 00:15:00,0.0,0.0
2018-02-25 00:20:00,0.0,0.0
2018-02-25 00:25:00,0.0,0.0
2018-02-25 00:30:00,0.0,0.0
2018-02-25 00:35:00,0.0,0.0
2018-02-25 00:40:00,0.0,0.0
2018-02-25 00:45:00,0.0,0.0
2018-02-25 00:50:00,0.0,0.0
2018-02-25 00:55:00,0.0,0.0
2018-02-25 01:00:00,0.0,0.0
2018-02-25 01:05:00,2.6369890681508556e-05,0.0
2018-02-25 01:10:00,6.20660317540623e-05,2.965996784147674e-07
2018-02-25 01:15:00,0.00038857461995136876,3.1085474956710563e-06
2018-02-25 01:20:00,0.0010732756745274457,1.3369638320663701e-05
2018-02-25 01:25:00,0.0025443361622920217,5.0348699322671664e-05
2018-02-25 01:30:00,0.004776064140389588,0.00013716197857142803
2018-02-25 01:35:00,0.007753724314562853,0.0003193530660897125
2018-02-25 01:40:00,0.010485752582404516,0.0006041573376969553
2018-02-25 01:45:00,0.013767052098863211,0.0010849586810823839
2018-02-25 01:50:00,0.01726771192507875,0.0018107523882362388
2018-02-25 01:55:00,0.02093448741539174,0.002762010154752752
2018-02-25 02:00:00,0.024984402954905952,0.004085754238516012
2018-02-25 02:05:00,0.03057588494699029,0.005994336781838971
2018-02-25 02:10:00,0.037338425366941666,0.008524774654049244
2018-02-25 02:15:00,0.04564112228734729,0.01212147068424449
2018-02-25 02:20:00,0.05508177032080439,0.017011303580282217
2018-02-25 02:25:00,0.06491645072779911,0.023022067235934338
2018-02-25 02:30:00,0.07367768082457733,0.029331898714076314
2018-02-25 02:35:00,0.08304055584425007,0.037027113509387886
2018-02-25 02:40:00,0.09160762446489848,0.04510868370326474
2018-02-25 02:45:00,0.0996565813769511,0.0533261351372825
2018-02-25 02:50:00,0.10719842522115049,0.061660711889251145
2018-02-25 02:55:00,0.11515904893161148,0.07117622815669618
2018-02-25 03:00:00,0.12286471923062876,0.08069771508389069
