,"('P1', 'depthN')","('P2', 'depthN')"
2018-02-25 00:00:00,0.0,0.0
2018-02-25 00:05:00,0.0,0.0
2018-02-25 00:10:00,0.0,0.0
2018-02-25 00:15:00,0.0,0.0
2018-02-25 00:20:00,0.0,0.0
2018-02-25 00:25:00,0.0,0.0
2018-02-25 00:30:00,0.0,0.0
2018-02-25 00:35:00,0.0,0.0
2018-02-25 00:40:00,0.0,0.0
2018-02-25 00:45:00,0.0,0.0
2018-02-25 00:50:00,0.0,0.0
2018-02-25 00:55:00,0.0,0.0
2018-02-25 01:00:00,1.229228902261534e-05,1.229228902261534e-05
2018-02-25 01:05:00,0.00011972100994682673,0.00012029537792598032
2018-02-25 01:10:00,0.0006083923518900724,0.0006216297992439552
2018-02-25 01:15:00,0.0016337462207149705,0.0017167001988353577
2018-02-25 01:20:00,0.003025956943627662,0.0033000024584283164
2018-02-25 01:25:00,0.005197714938736695,0.006017860264947953
2018-02-25 01:30:00,0.007792236660939052,0.009688068206222053
2018-02-25 01:35:00,0.01064293630031087,0.014383069142618048
2018-02-25 01:40:00,0.013719790658360891,0.020317224875173973
2018-02-25 01:45:00,0.0166632146543937,0.026616641701626927
2018-02-25 01:50:00,0.01934209186332022,0.03326651674846902
2018-02-25 01:55:00,0.022167808105131703,0.04090283978516142
2018-02-25 02:00:00,0.025547987643770524,0.04956449425564925
2018-02-25 02:05:00,0.028678099538392725,0.060067235403317966
2018-02-25 02:10:00,0.03264759721430245,0.07342411863668946
2018-02-25 02:15:00,0.038486866716930114,0.08961283144854013
2018-02-25 02:20:00,0.04425325192592265,0.10615424471781648
2018-02-25 02:25:00,0.04923660447080377,0.12317952806715504
2018-02-25 02:30:00,0.05298728934017358,0.13999921950779912
2018-02-25 02:35:00,0.05707431635448753,0.15833815254452505
2018-02-25 02:40:00,0.06256753732491348,0.1763395113330715
2018-02-25 02:45:00,0.06449564800506176,0.19352849443168424
2018-02-25 02:50:00,0.06704703561437472,0.21270997481637927
2018-02-25 02:55:00,0.07210407009685632,0.22981517541228957
2018-02-25 03:00:00,0.07501948187848917,0.24475754544035477
