,"('P1', 'depthN')","('P2', 'depthN')"
2018-02-25 00:00:00,0.0,0.0
2018-02-25 00:05:00,0.0,0.0
2018-02-25 00:10:00,0.0,0.0
2018-02-25 00:15:00,0.0,0.0
2018-02-25 00:20:00,0.0,0.0
2018-02-25 00:25:00,0.0,0.0
2018-02-25 00:30:00,0.0,0.0
2018-02-25 00:35:00,0.0,0.0
2018-02-25 00:40:00,0.0,0.0
2018-02-25 00:45:00,0.0,0.0
2018-02-25 00:50:00,0.0,0.0
2018-02-25 00:55:00,0.0,0.0
2018-02-25 01:00:00,1.229228902261534e-05,1.229228902261534e-05
2018-02-25 01:05:00,0.00011973210483827756,0.00012030719773243161
2018-02-25 01:10:00,0.0006085555471771007,0.0006216705717004804
2018-02-25 01:15:00,0.0016339310269073055,0.0017162203708818696
2018-02-25 01:20:00,0.0030314151237454344,0.0032988907216509327
2018-02-25 01:25:00,0.005216809060262138,0.0060141677965512615
2018-02-25 01:30:00,0.007904185686759414,0.009685277289425809
2018-02-25 01:35:00,0.011094662740237406,0.014431835867800996
2018-02-25 01:40:00,0.014056160254613337,0.01977005259524237
2018-02-25 01:45:00,0.01662363905917185,0.025976452274151074
2018-02-25 01:50:00,0.01986578978039506,0.03336192821925178
2018-02-25 01:55:00,0.022692617232184235,0.04052727127323691
2018-02-25 02:00:00,0.025525063258927744,0.04943846613791659
2018-02-25 02:05:00,0.03046675542790408,0.06051339163964849
2018-02-25 02:10:00,0.03632049390233358,0.0744698909064008
2018-02-25 02:15:00,0.04196389502600611,0.08927181770217471
2018-02-25 02:20:00,0.047224091925087856,0.10504609729739034
2018-02-25 02:25:00,0.052828731773380294,0.12366262819165086
2018-02-25 02:30:00,0.0585128329745216,0.1407043346078175
2018-02-25 02:35:00,0.061959799144534436,0.15916045293527809
2018-02-25 02:40:00,0.06338037913167205,0.17658203006469683
2018-02-25 02:45:00,0.06715180382929548,0.19341442132062112
2018-02-25 02:50:00,0.07242756408298924,0.2120912116040886
2018-02-25 02:55:00,0.07716003579783823,0.22973644701078744
2018-02-25 03:00:00,0.08153021384272176,0.24475354785232528
