,O1,O2,O3,O4,O6,O7,O8,O10,O11
2014-07-05 12:00:01,0.9990937544200417,1.0,1.0,0.9977048588651206,1.0,0.9972079900795209,1.0,0.9965760262156563,0.9982222968436641
2014-07-05 12:02:01,0.9990937544200417,1.0,1.0,0.9977048588651206,1.0,0.9972079900795209,1.0,0.9965760262156563,0.9982222968436641
2014-07-05 12:04:01,0.9990937544200417,1.0,1.0,0.9977048588651206,1.0,0.9972079900795209,1.0,0.9965760262156563,0.9982222968436641
2014-07-05 12:06:01,1.0,1.0,0.998894289317114,1.0,0.9967781408510847,0.9991359288528603,1.0,1.0,0.9987498273901444
2014-07-05 12:07:43,1.0,1.0,0.998894289317114,1.0,0.9967781408510847,0.9991359288528603,1.0,1.0,0.9987498273901444
2014-07-05 12:09:43,1.0,1.0,0.998894289317114,1.0,0.9967781408510847,0.9991359288528603,1.0,1.0,0.9987498273901444
2014-07-05 12:11:20,0.9984998411794137,0.9990949895634635,1.0,0.9979947085345477,0.9990469388208904,0.9986978123215763,0.9977009762862017,1.0,1.0
2014-07-05 12:12:57,0.9984998411794137,0.9990949895634635,1.0,0.9979947085345477,0.9990469388208904,0.9986978123215763,0.9977009762862017,1.0,1.0
2014-07-05 12:14:35,0.9984998411794137,0.9990949895634635,1.0,0.9979947085345477,0.9990469388208904,0.9986978123215763,0.9977009762862017,1.0,1.0
2014-07-05 12:16:14,0.994857492435264,1.0,0.9997312621566198,0.9996571806323834,0.9994803980480449,0.9977845858697665,1.0,0.9996484566131082,1.0
2014-07-05 12:17:53,0.994857492435264,1.0,0.9997312621566198,0.9996571806323834,0.9994803980480449,0.9977845858697665,1.0,0.9996484566131082,1.0
2014-07-05 12:19:40,0.994857492435264,1.0,0.9997312621566198,0.9996571806323834,0.9994803980480449,0.9977845858697665,1.0,0.9996484566131082,1.0
2014-07-05 12:20:45,0.9996291024619102,0.9991255562087717,1.0,0.9997606515644342,0.9983225655473098,0.9974776547720783,1.0,0.9974589086145503,1.0
2014-07-05 12:21:52,0.9996291024619102,0.9991255562087717,1.0,0.9997606515644342,0.9983225655473098,0.9974776547720783,1.0,0.9974589086145503,1.0
2014-07-05 12:23:06,0.9996291024619102,0.9991255562087717,1.0,0.9997606515644342,0.9983225655473098,0.9974776547720783,1.0,0.9974589086145503,1.0
2014-07-05 12:24:12,0.9996291024619102,0.9991255562087717,1.0,0.9997606515644342,0.9983225655473098,0.9974776547720783,1.0,0.9974589086145503,1.0
2014-07-05 12:25:26,0.9951760284612765,1.0,0.9948710873857154,0.9981480326861127,0.9978994233903545,0.9981940327077801,1.0,0.9993265019614286,1.0
2014-07-05 12:26:35,0.9951760284612765,1.0,0.9948710873857154,0.9981480326861127,0.9978994233903545,0.9981940327077801,1.0,0.9993265019614286,1.0
2014-07-05 12:27:42,0.9951760284612765,1.0,0.9948710873857154,0.9981480326861127,0.9978994233903545,0.9981940327077801,1.0,0.9993265019614286,1.0
2014-07-05 12:28:48,0.9951760284612765,1.0,0.9948710873857154,0.9981480326861127,0.9978994233903545,0.9981940327077801,1.0,0.9993265019614286,1.0
2014-07-05 12:29:52,0.9951760284612765,1.0,0.9948710873857154,0.9981480326861127,0.9978994233903545,0.9981940327077801,1.0,0.9993265019614286,1.0
2014-07-05 12:30:55,1.0,0.9954809895963931,1.0,0.990985019626108,0.9973085395742588,1.0,1.0,0.996332941621016,1.0
2014-07-05 12:31:56,1.0,0.9954809895963931,1.0,0.990985019626108,0.9973085395742588,1.0,1.0,0.996332941621016,1.0
2014-07-05 12:32:58,1.0,0.9954809895963931,1.0,0.990985019626108,0.9973085395742588,1.0,1.0,0.996332941621016,1.0
2014-07-05 12:34:10,1.0,0.9954809895963931,1.0,0.990985019626108,0.9973085395742588,1.0,1.0,0.996332941621016,1.0
2014-07-05 12:35:21,0.9987417949306754,1.0,0.9976561420450605,0.9963760679875411,0.9959610456948469,1.0,1.0,0.9997806765121684,1.0
