,"('1', 'depthN')","('2', 'depthN')","('3', 'depthN')","('4', 'depthN')","('6', 'depthN')","('7', 'depthN')","('8', 'depthN')","('10', 'depthN')","('11', 'depthN')"
2014-07-05 12:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:02:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:04:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:06:01,5.1770148318308045e-06,0.0006422929720405592,3.9564807062615244e-07,5.073629547840079e-06,2.4579645880662934e-05,0.00013914035057181414,0.005986617163942234,6.0018457580580665e-05,0.008639230537368333
2014-07-05 12:07:43,4.180263050536118e-05,0.004024402509900609,3.130911621626546e-06,3.9629105277287765e-05,0.00013583817185905845,0.0010734146850353813,0.024177912176067178,0.00021720807144908426,0.025414342152261755
2014-07-05 12:09:43,0.0001760839549769933,0.007290675265532844,1.3018232052241544e-05,0.00017037011545304343,0.0006011720331642973,0.004163461929821812,0.055403335296165916,0.0007528879594025737,0.052951273570313206
2014-07-05 12:11:20,0.0004087459423716944,0.012566782297748522,3.076200456495524e-05,0.0004173506599779787,0.0014671851833123742,0.009026036029068811,0.09178935151903195,0.0017109370395546344,0.08138675820565601
2014-07-05 12:12:58,0.0007759636724310852,0.019975974691986368,5.899723730698064e-05,0.0008111140935111641,0.0031774580838437568,0.015774870707945768,0.12864125682653665,0.0032312783010529896,0.11111082629781709
2014-07-05 12:14:38,0.001254514736673014,0.02675620424215129,9.58748574212049e-05,0.0014738819361208575,0.005692184834933091,0.023615824542335552,0.16266827122537636,0.00525439471370159,0.13888409707359625
2014-07-05 12:16:17,0.0018966671120326545,0.033626793967833885,0.00014592586994801254,0.0026400066105845303,0.009173329420569566,0.032630260720347824,0.19462662909757744,0.007898947439490402,0.1669817990151175
2014-07-05 12:17:56,0.0026884474719228143,0.040201697243370214,0.00020934588668500238,0.004535167429815483,0.0140436364479812,0.042174192810902636,0.22310155870388293,0.011131476464029882,0.19375629859451987
2014-07-05 12:19:43,0.0036644008355087325,0.04662376105344204,0.00029360404870111805,0.00805828407611532,0.021696958056786182,0.05247285021131479,0.24644351219851504,0.015175963740354008,0.2199067850217862
2014-07-05 12:20:48,0.00434589651170549,0.05093308522978607,0.00034955339036514305,0.00875898045761024,0.025267035912473153,0.06021064395111917,0.2597540502404656,0.01788244639006252,0.23517395638051375
