,"('1', 'depthN')","('2', 'depthN')","('3', 'depthN')","('4', 'depthN')","('6', 'depthN')","('7', 'depthN')","('8', 'depthN')","('10', 'depthN')","('11', 'depthN')"
2014-07-05 12:00:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:02:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:04:01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07-05 12:06:01,5.1770148318308045e-06,0.000516642470043473,3.9564807062615244e-07,5.073629547840079e-06,2.4748118854682563e-05,0.00013913903387945755,0.006003345988558848,6.0246621349529044e-05,0.00864825357223652
2014-07-05 12:07:43,4.178293690660327e-05,0.003969867189328899,3.1240295595888106e-06,3.954249868475711e-05,0.00013571394460181276,0.0010710795158199574,0.024122969778629818,0.00021710743728392974,0.02539207719215373
2014-07-05 12:09:43,0.00017736789010408478,0.006817743876491138,1.3011349996728408e-05,0.0001708343820075036,0.0006010578953910097,0.004160914637232331,0.055355139757070265,0.0007530168752602389,0.05292468259616635
2014-07-05 12:11:20,0.0004099476352183891,0.011968420335732803,3.0755491104376397e-05,0.00042188318582836427,0.001466988342844633,0.00902232010568348,0.09174043169084015,0.0017123757023006527,0.08136586659153676
2014-07-05 12:12:57,0.0007727484500859539,0.019426464052028018,5.863878575099312e-05,0.0008034177057105562,0.0031274908777373612,0.015693309009207533,0.12816409758320046,0.003207277523327314,0.11082933145115903
2014-07-05 12:14:35,0.0012471282263616006,0.026317990390413826,9.520057141488073e-05,0.0014428911981002421,0.005587473926903307,0.023464615166222114,0.16242125877952568,0.005205257513129042,0.13849721202524395
2014-07-05 12:16:14,0.0018852849410827932,0.0332715217095718,0.00014494375086369996,0.0025802721390172896,0.009019320025268597,0.0324280223728083,0.19452555703432806,0.007829584668552374,0.16655207477985323
2014-07-05 12:17:53,0.002672810500746847,0.03990594303220049,0.00020795171231177703,0.004457646632460643,0.013824436878971395,0.04194795688263291,0.22305444496979876,0.0110439589391741,0.19328163291713782
2014-07-05 12:19:40,0.00364274714581276,0.046364031788975205,0.00029146566324266476,0.00792904574115088,0.021352756779908326,0.05221439491410748,0.24634144347681375,0.01506252051450475,0.21937846724007393
2014-07-05 12:20:42,0.004303526349647424,0.05022664124754848,0.00034563104773310127,0.008603346861131043,0.02482292260808141,0.0597577006561803,0.25927787552558335,0.017691825345092005,0.23429340063502588
