,"('004', 'depthN')","('006', 'depthN')","('011', 'depthN')","('022', 'depthN')","('027', 'depthN')","('030', 'depthN')","('033', 'depthN')","('039', 'depthN')","('044', 'depthN')","('050', 'depthN')","('060', 'depthN')","('001', 'depthN')","('001', 'pollutantL', 'TSS')"
2017-01-01 00:00:00,2.298935326076804e-07,0.03663656750166505,0.0021123086910415046,0.01027578985692481,0.0001444712620587109,0.0003569536588310856,0.0016636112502644799,0.007298242638159714,0.0013726529389338,0.015978582484858374,0.18476275186618624,0.014105337661299905,0.0
2017-01-01 00:05:00,1.2664985446599914e-06,0.08522463643426523,0.006087661549906993,0.0360026778217497,0.0006573441604094743,0.001138863166472483,0.005723206769057817,0.031153951751407873,0.004156360724467184,0.05258568319561311,0.40651552896076804,0.05205793204515764,1.7585312440230056e-14
2017-01-01 00:10:00,5.213265678001597e-06,0.1169039862847025,0.012843888585665023,0.05935749213622149,0.0010006309526796255,0.00182727436240003,0.01101864257967391,0.059902839652508505,0.0063343661636530635,0.08237329651850304,0.506666103046199,0.09065295037375351,8.548603094053147e-12
2017-01-01 00:15:00,1.9410762130166768e-05,0.14994652353406845,0.027932416366049106,0.08524791539138277,0.0013808085536222924,0.0025813252385600096,0.0241957693697882,0.09645084648746283,0.01041739166976694,0.11240304330906263,0.5764860746951879,0.13758898469984931,0.00020125974714950656
2017-01-01 00:20:00,5.464118064292618e-05,0.18199737264814236,0.04694249730864358,0.11064178840967064,0.0017578457786583865,0.003273778428389577,0.04239053243083987,0.13608985175541957,0.01570962956318036,0.13910651048025283,0.643918171946473,0.1879725401409265,0.0028000152800206225
2017-01-01 00:25:00,0.0001211224716850318,0.21017194751107027,0.06682436790218925,0.13268933042467904,0.00208627323580434,0.003918931018044347,0.06288689062559659,0.17279316058180547,0.021203059909348936,0.16005391562647187,0.6985972385469209,0.23457128480271494,0.010601164286130355
2017-01-01 00:30:00,0.0002672716352591098,0.24185230070317437,0.0925698904050338,0.15695313721290188,0.002458990354285283,0.004743746225163903,0.09177636535619942,0.21306940071449873,0.028218432506538067,0.18153817531457134,0.7486671938642769,0.2836386615822351,0.029096926265505873
2017-01-01 00:35:00,0.0005309383198433654,0.27374769227494583,0.12177620533633496,0.18062260158052756,0.0028470859743301297,0.005860176529953314,0.13159740433065786,0.24141991329729523,0.036027233211455366,0.20160970488380567,0.7889732012119657,0.3240065967099529,0.060688457930988246
2017-01-01 00:40:00,0.0009259507371459812,0.30235015864701,0.15087469131361228,0.20092919195634762,0.0031999040307767886,0.008250678210619793,0.18251677081399018,0.26490806913618536,0.043640737413994775,0.218596988908826,0.8174661037951237,0.356741287574244,0.10567919424173418
2017-01-01 00:45:00,0.0015444416685101608,0.3311638543932327,0.18298806088265393,0.22059244059716832,0.003539599503545263,0.012205912395517726,0.2424149133723227,0.2981243887175078,0.0518703915272873,0.23511439167975312,0.84059437928909,0.3873558764821423,0.1721360847243647
2017-01-01 00:50:00,0.0026426260912673825,0.36397467837124,0.22320157469247456,0.24215694116740902,0.003916659808473736,0.018569416876318977,0.3193682818687328,0.3378445947444362,0.061873805640507415,0.2534821356318099,0.8615225413524674,0.4187015487768006,0.279461001333962
2017-01-01 00:55:00,0.004320798571974578,0.39722967317980296,0.2686556219132512,0.2634653317285338,0.004309316381020575,0.02702721353194808,0.4084153650443507,0.3812145341915182,0.07260343879372733,0.27180078648313816,0.8788112323503695,0.44687391587272923,0.4301809068778133
2017-01-01 01:00:00,0.006616379525543148,0.42628239275501134,0.31280417427362917,0.2822757929481369,0.004799804472116735,0.03678236276599158,0.4979339592399352,0.417727347778142,0.08288829060285202,0.28791017720204803,0.8917063979181482,0.46899088380153753,0.6100393658586624
2017-01-01 01:05:00,0.011116410527039848,0.45768941397407437,0.3644237488953809,0.30326612195063557,0.006084525449411741,0.05112184301655992,0.6070999088744282,0.4590090168168957,0.09525797514328113,0.303764399242021,0.9046040290970329,0.4904553252952536,0.8752546523697442
