,"('J1', 'depthN')","('J2', 'depthN')","('J3', 'depthN')","('J4', 'depthN')","('J5a', 'depthN')","('JC5', 'depthN')","('JC4c', 'depthN')","('R1', 'depthN')","('R2', 'depthN')","('R3', 'depthN')","('R4', 'depthN')","('R5', 'depthN')","('JC1b', 'depthN')","('JC2', 'depthN')","('JC3a', 'depthN')","('JC4c', 'depthN')","('JC5', 'depthN')","('C1a', 'depthL')","('C1b', 'depthL')","('C2', 'depthL')","('C3a', 'depthL')","('C3b', 'depthL')","('C4a', 'depthL')","('C4b', 'depthL')","('C4c', 'depthL')","('C5a', 'depthL')","('C5b', 'depthL')","('I5', 'flow')"
2007-01-01 00:00:00,0.045801751530351154,0.06899737668684054,0.060625253134794665,0.05267145462120968,0.06975072915337083,0.005802107102173208,0.0,0.0022008539833179835,0.014612998657011706,0.03771327567684661,0.009479661175137464,0.0037819973596724425,0.0,0.0,0.0,0.0,0.005802107102173208,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0029624949119957454,0.0031486397633973687,0.0014614048360372565
2007-01-01 00:05:00,0.1600960094238728,0.16748492100717277,0.1385614816499766,0.1633097565909049,0.1525221411154553,0.04647547027488023,0.0,0.019922665679934892,0.0471128906246629,0.19253623503770417,0.04830635186575945,0.032727840038461804,0.0,0.0,0.0,0.0,0.04647547027488023,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.023299639988307537,0.028309998129316227,0.14808879729680668
2007-01-01 00:10:00,0.21712278167950522,0.2279793703317441,0.1881162999495135,0.2310891500666138,0.20740687591235174,0.09611699101096222,0.0,0.04229974288536313,0.07317727874642237,0.2837425450726543,0.08051749918711844,0.060588036114562795,0.0,0.0,0.0,0.0,0.09611699101096222,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.04812611967760295,0.06953749991089353,0.73411828138385
2007-01-01 00:15:00,0.38436374600776607,0.4039298528966283,0.34014751382437053,0.4067680026211943,0.3747469173071296,0.17477053143516647,0.0,0.09395653206482912,0.16341188714590887,0.5736210271887909,0.17724400124840056,0.13394757361602314,0.0,0.0,0.0,0.0,0.17477053143516647,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0874604520671608,0.1684627099307363,2.4336011124839634
2007-01-01 00:20:00,0.5187865889172718,0.5247177694598305,0.4334380653723633,0.570595869606666,0.4928924005454448,0.2552122483804048,0.0,0.15497681628582133,0.2359340879346623,1.0489285133037018,0.29731958644543,0.23710991484781457,0.0,0.0,0.0,0.0,0.2552122483804048,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.12766186606194313,0.25489903329780644,7.309913606771866
2007-01-01 00:25:00,0.6833984292254494,0.7215476191263814,0.5872289712510464,0.7832707874386938,0.6848997917787396,0.34350412115440293,0.0,0.22414634863767624,0.3484198577354395,2.957760974920119,0.44120188580289676,0.3446151730270559,0.0,0.0,0.0,0.0,0.34350412115440293,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.171809225630376,0.3425659518138673,12.051129922503659
2007-01-01 00:30:00,1.0407092405707796,2.5734553175093158,2.4475666282897066,1.1691014106937607,1.0596358537982966,0.48075549975398973,0.00013378188712057012,1.599451857648435,2.274926438646531,8.263346620296653,0.9269490544212495,0.557369515313706,0.0,0.047587610888659884,4.5610857438068875,0.00013378188712057012,0.48075549975398973,0.0001,0.0001,0.023947419964790315,0.15224968871162767,0.408904538588245,0.21252527240990776,0.09284391434224133,0.008772732835738279,0.24057760774841067,0.47864391028379033,20.53471801429657
2007-01-01 00:35:00,2.3109971779971934,2.1355387775010897,1.2220095380258316,0.969664011738641,0.8177245291899164,0.4569260052637961,0.07850783760178004,3.6205454569517523,3.3325164659593813,8.004463541048791,1.304955471597275,0.6095994639371674,0.0,0.2902058633252863,5.565951063789518,0.07850783760178004,0.4569260052637961,0.0001,0.0001,0.14529805293672216,0.43238369157518264,0.5701739887355188,0.6333947578481229,0.6147381408243291,0.3076808172984329,0.26757026490759017,0.4564098994269443,22.364368542070075
2007-01-01 00:40:00,2.086080136872103,0.9818999902271534,0.5001160273705362,0.7361642903274863,0.5946266018009793,0.5236148801458931,0.4425127302899858,3.4427988748573406,2.4911695277442276,6.556539480403569,0.45328325651879064,0.36314627233107655,0.0,0.16928479243152972,5.303918447348977,0.4425127302899858,0.5236148801458931,0.0001,0.0001,0.08470045195607671,0.2838070300312211,0.3510818488303812,0.41430105857607485,0.6234680118007419,0.6295935460305373,0.4830555607021779,0.5206590073176812,15.856240525005415
2007-01-01 00:45:00,1.0294660358467034,0.45645107053736167,0.38759010641988584,0.5755950777841639,0.45626669687285926,0.5650486489454376,0.5117869253383587,2.257986395278484,0.5333704563479313,6.274931641474035,0.32260509507142154,0.2594017669343817,0.0,0.08512258140694524,5.118651589896641,0.5117869253383587,0.5650486489454376,0.0001,0.0001,0.04261056893200366,0.1537431852132613,0.17051192454027841,0.22619839180842974,0.3897895057813912,0.530675357961627,0.5384270245810512,0.5647401228145099,12.519454882617143
2007-01-01 00:50:00,0.42938721579374495,0.4022153666467309,0.3243739127164927,0.4770847982190756,0.3788238216378432,0.4406319563207842,0.36468954423290595,0.5510434104659525,0.16730468465995393,5.461170442733665,0.24622811073529216,0.19610443437341535,0.0,0.05118258801612792,5.029352697515731,0.36468954423290595,0.4406319563207842,0.0001,0.0001,0.025640906872548656,0.0881779208941225,0.07726196082794559,0.1219817679215339,0.22154890965366575,0.3444999132820158,0.402662652341769,0.44037893691720453,10.801028220279289
2007-01-01 00:55:00,0.3768354292046767,0.3688310653891107,0.2979357271189122,0.4333872175780718,0.3452595033597222,0.34574662022620734,0.25275065370513755,0.10460385790126436,0.14798387202067692,4.301295896712415,0.21413803748089175,0.1704241130074221,0.0,0.03585451441423208,5.014053492296222,0.25275065370513755,0.34574662022620734,0.0001,0.0001,0.017976958012935758,0.06199835701295342,0.05109773571405185,0.08029258770466186,0.14266474319049394,0.2328183387377294,0.29922683232723557,0.34604101097954754,7.966263434616824
2007-01-01 01:00:00,0.34381714018027526,0.33139559848479405,0.26705125497702753,0.39218138866991625,0.3089026745091525,0.2803145460091952,0.18071872081297907,0.09215842777798122,0.1278672692965958,3.0163498946038763,0.18732578334545683,0.15032683477908332,0.0,0.0268068188220258,5.008646032359348,0.18071872081297907,0.2803145460091952,0.0001,0.0001,0.01345319255259601,0.048034574938628796,0.038954212864427976,0.0599554289662592,0.10005090257318443,0.16508532068519344,0.23049566450426937,0.28063451676916884,5.812736172940132
2007-01-01 01:05:00,0.30478828147701026,0.2964575084318264,0.2374315596567274,0.34938462443203855,0.27497072342038004,0.22950611173360264,0.13102090541422443,0.07686493681548237,0.1086182882370619,1.5633063326024534,0.1578804750608526,0.12591750397028806,0.0,0.020458690594972555,5.005760874911576,0.13102090541422443,0.22950611173360264,0.0001,0.0001,0.010279242424156837,0.03824873200937873,0.030899864228740626,0.04695575678915702,0.07293981725042613,0.11951342383526935,0.1802567728476788,0.23044557158236784,4.7083606782452145
2007-01-01 01:10:00,0.29001264364463547,0.28371215268090577,0.22770522179305147,0.3309509465934417,0.2620958234090567,0.2019476356061756,0.10148677888638813,0.0707957414742525,0.10185018455242875,0.6473381138744074,0.14520204215915428,0.11527259204981664,0.0,0.016497876456971768,5.004268049504592,0.10148677888638813,0.2019476356061756,0.0001,0.0001,0.008298887256058879,0.03188725113545843,0.02577236363731572,0.0389899390655728,0.0574008936696373,0.09279238844396787,0.15171561917532017,0.20258459525302897,4.059971007593561
2007-01-01 01:15:00,0.28178368369710133,0.2755541475492496,0.22124286858891168,0.3196106783805161,0.25385414364978354,0.18477687050007555,0.08148720552837638,0.06773263422345499,0.09762482724536233,0.4353958786720307,0.13787905848227983,0.10966801259029424,0.0,0.013664547870473397,5.003327551527503,0.08148720552837638,0.18477687050007555,0.0001,0.0001,0.0068822346475724775,0.027126123104699217,0.021957647666840784,0.0331699995686904,0.046915134809569284,0.0747823744110974,0.13313088013783272,0.18500738816337617,3.1232998707987907
2007-01-01 01:20:00,0.27592286902390195,0.2703486155262557,0.21717072164698226,0.3117809573835451,0.2487143288318716,0.17178913652107625,0.06604172445242666,0.06546841377993834,0.0948986210782256,0.409263955580898,0.13273380465938184,0.10560769624607129,0.0,0.011363399593495919,5.00263130228077,0.06604172445242666,0.17178913652107625,0.0001,0.0001,0.005731671295224078,0.023088133212968386,0.01872210246101531,0.028288687310941897,0.03873675926452051,0.06087521420449775,0.11891470785240017,0.17197756755404042,2.694366785078993
2007-01-01 01:25:00,0.27258054557544487,0.2662784133122736,0.21402009038315434,0.306947176815203,0.24474961215874386,0.16364496233820391,0.05567535922378271,0.06436488220091446,0.09295111134235814,0.4024730624090713,0.12991121109556156,0.10360768254118176,0.0,0.009749501768681492,5.002177073141024,0.05567535922378271,0.16364496233820391,0.0001,0.0001,0.004924730197457211,0.020138409618994046,0.016352208971738946,0.024744079487277304,0.033164479592755924,0.051521629856893014,0.10965945017096601,0.1638304834890505,2.5849943169004415
2007-01-01 01:30:00,0.2665428529803339,0.25990731239635767,0.20865539623505297,0.30001994157155315,0.23875617782321923,0.15691952564109907,0.04781283617150602,0.0624054750101347,0.08980201518315135,0.39152408469431416,0.12580821240269835,0.10050403554499616,0.0,0.008479622160026347,5.001839554126185,0.04781283617150602,0.15691952564109907,0.0001,0.0001,0.004289795635930932,0.01772864976665005,0.014408626315162109,0.021856869183466188,0.02886612041729677,0.0444044290520651,0.10236577878258686,0.15449515639475067,2.484559387253435
2007-01-01 01:35:00,0.2610809176831451,0.2553451795335695,0.20493967620928644,0.2941646836978013,0.23437263096360206,0.15207502318392108,0.04156838819639199,0.06043772673327438,0.0874933122885421,0.3809868730796094,0.12208305271687238,0.09734086017927338,0.0,0.00744221706714129,5.00157554176369,0.04156838819639199,0.15207502318392108,0.0001,0.0001,0.003771096719573325,0.015696172408524944,0.01276284305970421,0.019424541764465175,0.02539786191039184,0.038732519222548945,0.09682149305058374,0.14601490101483705,2.364092873025103
2007-01-01 01:40:00,0.25794448383451507,0.25177507764446666,0.2021513408292365,0.29023114374129605,0.23089254255812874,0.1488745847828593,0.03708315059918098,0.059437409766451024,0.08579665753513321,0.3755648055682901,0.1198606468007223,0.0956720800643117,0.0,0.006679210313695601,5.001388392185009,0.03708315059918098,0.1488745847828593,0.0001,0.0001,0.0033895957556194845,0.014156504013499216,0.011511101679843705,0.01758243786696312,0.022867710622449522,0.034643701275513195,0.09297854620933776,0.14064186874736606,2.2935786004433125
2007-01-01 01:45:00,0.2532111535712517,0.24755955673611063,0.19857267645846774,0.2850746900439226,0.2268655658165096,0.14537185443371878,0.03293726083256347,0.05781576039840053,0.0836763235839406,0.3667398411419232,0.11666038852968671,0.09307431701006426,0.0,0.005960440619813014,5.001217425881153,0.03293726083256347,0.14537185443371878,0.0001,0.0001,0.003030212892543932,0.012667092402625712,0.010295590432633617,0.01579971599257988,0.02049517466357429,0.030850925981121692,0.08915433455376842,0.13485689583048951,2.2062835091696176
2007-01-01 01:50:00,0.24957329604308048,0.24344406493027154,0.19516570279943304,0.2806394660592224,0.22287749216804767,0.1425185517402941,0.02948170844062638,0.05667850079151222,0.08173505306899863,0.3605492459876163,0.11424030456383871,0.09125800749733953,0.0,0.0053519242711180725,5.0010764963719705,0.02948170844062638,0.1425185517402941,0.0001,0.0001,0.0027259562309734976,0.011375090259207354,0.009237380667514117,0.01425189597841836,0.018490747821942932,0.027678806888957297,0.08599976448681446,0.13030236424037867,2.1371105447498775
2007-01-01 01:55:00,0.2450234119112676,0.23954426839177084,0.1917400503537115,0.27567581499841426,0.21917965741694223,0.1396903097824153,0.026733837373862472,0.05510789164055174,0.07975900487151993,0.3520135705081264,0.1112308828379905,0.08877746538774045,0.0,0.0048616441151011994,5.000965666244554,0.026733837373862472,0.1396903097824153,0.0001,0.0001,0.0024808172130076855,0.010309874634822335,0.008361889313528081,0.01297407153460881,0.016875856032675073,0.02514773370076,0.08321184251781233,0.1258260155555945,2.0562193861378537
2007-01-01 02:00:00,0.2168709250342386,0.19640915825623637,0.15513977427186268,0.24175588257835207,0.17867974966158276,0.12842976358808383,0.024316871596890645,0.04844311068321131,0.06126720369586251,0.3123123057980823,0.09578857340476495,0.07943233744512078,0.0,0.004426278873932866,5.000869190221863,0.024316871596890645,0.12842976358808383,0.0001,0.0001,0.0022631353446638967,0.009345309589934913,0.0075667683456231314,0.011815169150759175,0.015439589989364321,0.022915010220640398,0.07636990083701675,0.1099281082950256,1.888149022632351
